"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-10 17:00:00",36.35,44.45,19.73,5.07
"2022-05-10 18:00:00",45.86,32.52,19.62,6.59
"2022-05-10 19:00:00",46.2,35.09,15.84,6.14
"2022-05-10 20:00:00",20.52,53.72,11.96,4.03
"2022-05-10 21:00:00",18.43,53.07,9,4.17
"2022-05-10 22:00:00",18.45,52.33,8.99,4.34
"2022-05-10 23:00:00",17.37,51.64,8.57,3.99
"2022-05-11 00:00:00",13.96,54.96,9.9,4.82
"2022-05-11 01:00:00",9.61,58.97,10.18,4.76
"2022-05-11 02:00:00",4.96,64.11,7.47,3.71
"2022-05-11 03:00:00",4.6,64.57,5.52,3.11
"2022-05-11 04:00:00",6.08,61.04,6.74,3.64
"2022-05-11 05:00:00",6.49,59.96,7.22,3.93
"2022-05-11 06:00:00",16.06,56.91,9.76,4.4
"2022-05-11 07:00:00",26.09,45.73,12.85,5.54
"2022-05-11 08:00:00",53.85,28.1,16.94,5.88
"2022-05-11 09:00:00",50.69,25.38,41.72,9.58
"2022-05-11 10:00:00",54.52,15.58,27.72,7.51
"2022-05-11 11:00:00",52.89,23.12,18.88,6.34
"2022-05-11 12:00:00",45.27,29.92,25.55,6.66
"2022-05-11 13:00:00",44.41,33.29,19.97,5.44
"2022-05-11 14:00:00",35.12,41.51,17.48,5.45
"2022-05-11 15:00:00",36.95,41.23,26.79,6.47
"2022-05-11 16:00:00",45.28,34.63,32.37,7.79
"2022-05-11 17:00:00",45,28.36,24.12,6.17
"2022-05-11 18:00:00",53.86,26.82,15.29,4.71
"2022-05-11 19:00:00",49.59,28.92,10.77,3.58
"2022-05-11 20:00:00",38.9,35.35,10.28,4.24
"2022-05-11 21:00:00",49.22,24.53,13.39,5.82
"2022-05-11 22:00:00",46.85,21.27,15.65,7.09
"2022-05-11 23:00:00",46.88,19.01,13.09,6.03
"2022-05-12 00:00:00",36.79,24.28,12.39,5.15
"2022-05-12 01:00:00",20.28,37.2,10.2,4.39
"2022-05-12 02:00:00",13.41,39.81,8.16,4.17
"2022-05-12 03:00:00",15.44,38.78,9.05,4.83
"2022-05-12 04:00:00",14.75,39.72,9.42,4.81
"2022-05-12 05:00:00",16.1,36.98,10.83,5.16
